"num_samples","batchsize: 32 (Batchsize: partner: OBL5) - _step","batchsize: 32 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 32 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 32 (Batchsize: partner: OBL5) - score","batchsize: 32 (Batchsize: partner: OBL5) - score__MIN","batchsize: 32 (Batchsize: partner: OBL5) - score__MAX","batchsize: 64 (Batchsize: partner: OBL5) - _step","batchsize: 64 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 64 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 64 (Batchsize: partner: OBL5) - score","batchsize: 64 (Batchsize: partner: OBL5) - score__MIN","batchsize: 64 (Batchsize: partner: OBL5) - score__MAX","batchsize: 128 (Batchsize: partner: OBL5) - _step","batchsize: 128 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 128 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 128 (Batchsize: partner: OBL5) - score","batchsize: 128 (Batchsize: partner: OBL5) - score__MIN","batchsize: 128 (Batchsize: partner: OBL5) - score__MAX","batchsize: 256 (Batchsize: partner: OBL5) - _step","batchsize: 256 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 256 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 256 (Batchsize: partner: OBL5) - score","batchsize: 256 (Batchsize: partner: OBL5) - score__MIN","batchsize: 256 (Batchsize: partner: OBL5) - score__MAX","batchsize: 512 (Batchsize: partner: OBL5) - _step","batchsize: 512 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 512 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 512 (Batchsize: partner: OBL5) - score","batchsize: 512 (Batchsize: partner: OBL5) - score__MIN","batchsize: 512 (Batchsize: partner: OBL5) - score__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - _step","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - _step__MAX","batchsize: 1024 (Batchsize: partner: OBL5) - score","batchsize: 1024 (Batchsize: partner: OBL5) - score__MIN","batchsize: 1024 (Batchsize: partner: OBL5) - score__MAX"
"35785","4","4","4","11.846","11.846","11.846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36448","","","","","","","","","","","","","","","","","","","1","1","1","11.313","11.313","11.313","","","","","","","","","","","",""
"37045","","","","","","","","","","","","","3","3","3","11.721","11.721","11.721","","","","","","","","","","","","","","","","","",""
"37106","4","4","4","11.572","11.572","11.572","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37176","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.458","11.458","11.458","","","","","",""
"38082","","","","","","","","","","","","","3","3","3","11.923","11.923","11.923","","","","","","","","","","","","","","","","","",""
"38118","","","","","","","","","","","","","3","3","3","12.004","12.004","12.004","","","","","","","","","","","","","","","","","",""
"38359","","","","","","","","","","","","","3","3","3","11.766","11.766","11.766","","","","","","","","","","","","","","","","","",""
"38605","","","","","","","","","","","","","3","3","3","11.88","11.88","11.88","","","","","","","","","","","","","","","","","",""
"38667","","","","","","","","","","","","","3","3","3","12.214","12.214","12.214","","","","","","","","","","","","","","","","","",""
"38879","","","","","","","","","","","","","3","3","3","11.845","11.845","11.845","","","","","","","","","","","","","","","","","",""
"38936","","","","","","","","","","","","","3","3","3","11.978","11.978","11.978","","","","","","","","","","","","","","","","","",""
"41376","","","","","","","","","","","","","","","","","","","2","2","2","11.49","11.49","11.49","","","","","","","","","","","",""
"41616","5","5","5","12.217","12.217","12.217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41721","","","","","","","4","4","4","11.482","11.482","11.482","","","","","","","","","","","","","","","","","","","","","","","",""
"41839","","","","","","","4","4","4","12.039","12.039","12.039","","","","","","","","","","","","","","","","","","","","","","","",""
"42198","5","5","5","11.928","11.928","11.928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42210","","","","","","","4","4","4","11.867","11.867","11.867","","","","","","","","","","","","","","","","","","","","","","","",""
"42792","","","","","","","","","","","","","","","","","","","2","2","2","11.65","11.65","11.65","","","","","","","","","","","",""
"44254","5","5","5","12.218","12.218","12.218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46491","","","","","","","","","","","","","4","4","4","12.094","12.094","12.094","","","","","","","","","","","","","","","","","",""
"47847","","","","","","","","","","","","","4","4","4","12.21","12.21","12.21","","","","","","","","","","","","","","","","","",""
"47912","","","","","","","","","","","","","4","4","4","11.768","11.768","11.768","","","","","","","","","","","","","","","","","",""
"48034","6","6","6","12.179","12.179","12.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48050","","","","","","","","","","","","","4","4","4","12.257","12.257","12.257","","","","","","","","","","","","","","","","","",""
"48288","","","","","","","","","","","","","4","4","4","11.938","11.938","11.938","","","","","","","","","","","","","","","","","",""
"48521","","","","","","","","","","","","","4","4","4","12.232","12.232","12.232","","","","","","","","","","","","","","","","","",""
"48606","","","","","","","","","","","","","4","4","4","12.38","12.38","12.38","","","","","","","","","","","","","","","","","",""
"48631","6","6","6","12.404","12.404","12.404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48774","","","","","","","","","","","","","4","4","4","12.306","12.306","12.306","","","","","","","","","","","","","","","","","",""
"49784","","","","","","","5","5","5","12.011","12.011","12.011","","","","","","","","","","","","","","","","","","","","","","","",""
"50020","","","","","","","5","5","5","12.42","12.42","12.42","","","","","","","","","","","","","","","","","","","","","","","",""
"50553","","","","","","","5","5","5","12.176","12.176","12.176","","","","","","","","","","","","","","","","","","","","","","","",""
"51506","6","6","6","12.243","12.243","12.243","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54503","7","7","7","12.608","12.608","12.608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55280","7","7","7","12.265","12.265","12.265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55782","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.761","11.761","11.761","","","","","",""
"56086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.827","11.827","11.827"
"56197","","","","","","","","","","","","","5","5","5","12.456","12.456","12.456","","","","","","","","","","","","","","","","","",""
"56953","","","","","","","","","","","","","","","","","","","3","3","3","12.342","12.342","12.342","","","","","","","","","","","",""
"57719","","","","","","","","","","","","","5","5","5","12.197","12.197","12.197","","","","","","","","","","","","","","","","","",""
"57768","","","","","","","","","","","","","5","5","5","12.545","12.545","12.545","","","","","","","","","","","","","","","","","",""
"57987","","","","","","","6","6","6","12.756","12.756","12.756","","","","","","","","","","","","","","","","","","","","","","","",""
"58039","","","","","","","","","","","","","5","5","5","12.337","12.337","12.337","","","","","","","","","","","","","","","","","",""
"58120","","","","","","","","","","","","","5","5","5","12.546","12.546","12.546","","","","","","","","","","","","","","","","","",""
"58208","","","","","","","6","6","6","12.778","12.778","12.778","","","","","","","","","","","","","","","","","","","","","","","",""
"58343","","","","","","","","","","","","","5","5","5","12.751","12.751","12.751","","","","","","","","","","","","","","","","","",""
"58522","","","","","","","","","","","","","5","5","5","12.9","12.9","12.9","","","","","","","","","","","","","","","","","",""
"58621","7","7","7","12.646","12.646","12.646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58987","","","","","","","","","","","","","5","5","5","12.608","12.608","12.608","","","","","","","","","","","","","","","","","",""
"59087","","","","","","","","","","","","","","","","","","","3","3","3","12.699","12.699","12.699","","","","","","","","","","","",""
"59181","","","","","","","6","6","6","12.42","12.42","12.42","","","","","","","","","","","","","","","","","","","","","","","",""
"59572","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","12.085","12.085","12.085","","","","","",""
"61162","8","8","8","12.651","12.651","12.651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61543","","","","","","","","","","","","","","","","","","","2","2","2","11.354","11.354","11.354","","","","","","","","","","","",""
"62098","8","8","8","12.291","12.291","12.291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","11.513","11.513","11.513"
"64374","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","12.173","12.173","12.173","","","","","",""
"65447","8","8","8","12.802","12.802","12.802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65666","","","","","","","","","","","","","6","6","6","13.109","13.109","13.109","","","","","","","","","","","","","","","","","",""
"66147","","","","","","","7","7","7","13.086","13.086","13.086","","","","","","","","","","","","","","","","","","","","","","","",""
"66420","","","","","","","7","7","7","12.848","12.848","12.848","","","","","","","","","","","","","","","","","","","","","","","",""
"67538","","","","","","","","","","","","","6","6","6","12.384","12.384","12.384","","","","","","","","","","","","","","","","","",""
